experiment,n,seed,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E1,100,3,cold_cc_dca,GREEN,71,1,36,17.0,-2.499999999293315,5.316712815864258e-05,0.008699808000073,1,7.066880414186016e-10,4.440892098500626e-16,3.8866297528369464e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,100,3,persistent_cc_dca,GREEN,71,1,31,17.0,-2.499999999293315,5.316712815864258e-05,0.028355153000120002,1,7.066880414186016e-10,4.440892098500626e-16,3.8866297528369464e-15,2.2204460492503123e-15,-8.881784197001252e-16
E1,100,4,plain_dca,FIRST_ORDER,40,0,0,,-1.5,7.16101610201671e-11,0.0016495620000110001,0,1.000000000000003,6.661338147750939e-16,4.0020813358722446e-15,3.3306690738754704e-15,8.881784197001252e-16
E1,100,4,post_dca,GREEN_POST,68,1,54,40.0,-2.499999999999999,9.013192864813223e-11,0.019580166999958,1,3.9968028886505635e-15,6.661338147750939e-16,4.0020813358722446e-15,3.3306690738754704e-15,8.881784197001252e-16
E1,100,4,cold_cc_dca,GREEN,64,1,34,17.0,-2.499999999033236,6.218562078417615e-05,0.009640343000000001,1,9.667666667212416e-10,6.661338147750939e-16,4.0020813358722446e-15,3.3306690738754704e-15,8.881784197001252e-16
E1,100,4,persistent_cc_dca,GREEN,64,1,31,17.0,-2.499999999033236,6.218562078417615e-05,0.009360581999999,1,9.667666667212416e-10,6.661338147750939e-16,4.0020813358722446e-15,3.3306690738754704e-15,8.881784197001252e-16
E1,100,5,plain_dca,FIRST_ORDER,40,0,0,,-1.4999999999999991,7.161931807552327e-11,0.00161712199997,0,1.000000000000001,0.0,7.801742526320034e-15,0.0,0.0
E1,100,5,post_dca,GREEN_POST,68,1,54,40.0,-2.5,9.013140332376508e-11,0.046644280999998004,1,4.440892098500626e-16,0.0,7.801742526320034e-15,0.0,0.0
E1,100,5,cold_cc_dca,GREEN,65,1,36,17.0,-2.499999999188292,5.6980982670285055e-05,0.009904912000138,1,8.117084782099937e-10,0.0,7.801742526320034e-15,0.0,0.0
E1,100,5,persistent_cc_dca,GREEN,65,1,31,17.0,-2.499999999188292,5.6980982670285055e-05,0.009399851000125001,1,8.117084782099937e-10,0.0,7.801742526320034e-15,0.0,0.0
E1,100,6,plain_dca,FIRST_ORDER,40,0,0,,-1.4999999999999991,7.161200229159565e-11,0.0016071879999790002,0,1.000000000000003,6.661338147750939e-16,5.055586983864428e-15,3.3306690738754696e-15,-8.881784197001252e-16
E1,100,6,post_dca,GREEN_POST,68,1,54,40.0,-2.500000000000001,9.013243622198281e-11,0.019619896999984003,1,2.220446049250313e-15,6.661338147750939e-16,5.055586983864428e-15,3.3306690738754696e-15,-8.881784197001252e-16
E1,100,6,cold_cc_dca,GREEN,59,1,34,17.0,-2.499999999213844,5.607697453854519e-05,0.007691731000022001,1,7.861591377888999e-10,6.661338147750939e-16,5.055586983864428e-15,3.3306690738754696e-15,-8.881784197001252e-16
